Index,ADC_raw
0,10
1,19
2,19
3,27
4,26
5,35
6,38
7,33
8,38
9,48
10,53
11,52
12,68
13,61
14,67
15,80
16,85
17,85
18,94
19,94
20,89
21,107
22,113
23,109
24,107
25,119
26,104
27,129
28,131
29,136
30,131
31,140
32,152
33,147
34,149
35,160
36,164
37,162
38,167
39,172
40,171
41,174
42,190
43,199
44,200
45,200
46,203
47,204
48,200
49,209
50,218
51,217
52,231
53,227
54,233
55,232
56,243
57,241
58,250
59,253
60,253
61,256
62,252
63,260
64,272
65,272
66,283
67,272
68,286
69,297
70,296
71,293
72,290
73,297
74,310
75,307
76,316
77,313
78,320
79,326
80,324
81,336
82,323
83,345
84,343
85,346
86,355
87,355
88,355
89,362
90,355
91,368
92,362
93,375
94,389
95,384
96,386
97,400
98,398
99,394
100,405
101,406
102,405
103,409
104,417
105,412
106,425
107,430
108,424
109,433
110,430
111,434
112,450
113,443
114,441
115,449
116,452
117,463
118,454
119,463
120,472
121,474
122,474
123,477
124,476
125,489
126,490
127,493
128,489
129,493
130,508
131,502
132,502
133,505
134,508
135,524
136,523
137,513
138,535
139,528
140,529
141,536
142,543
143,544
144,543
145,547
146,546
147,546
148,558
149,560
150,576
151,554
152,569
153,572
154,570
155,576
156,586
157,583
158,588
159,597
160,603
161,594
162,599
163,602
164,609
165,617
166,616
167,616
168,610
169,630
170,630
171,636
172,634
173,624
174,638
175,641
176,636
177,651
178,642
179,652
180,668
181,649
182,661
183,659
184,662
185,670
186,678
187,681
188,669
189,682
190,680
191,681
192,690
193,688
194,692
195,686
196,695
197,713
198,706
199,709
200,703
201,718
202,714
203,709
204,722
205,723
206,722
207,724
208,733
209,745
210,735
211,744
212,746
213,730
214,752
215,762
216,754
217,750
218,761
219,751
220,762
221,766
222,769
223,775
224,773
225,779
226,776
227,778
228,785
229,791
230,785
231,793
232,784
233,798
234,806
235,797
236,807
237,805
238,818
239,815
240,822
241,812
242,818
243,818
244,820
245,821
246,830
247,828
248,831
249,840
250,846
251,831
252,854
253,840
254,851
255,846
256,855
257,862
258,863
259,862
260,862
261,866
262,871
263,879
264,874
265,886
266,871
267,877
268,888
269,891
270,893
271,893
272,893
273,886
274,903
275,903
276,898
277,899
278,920
279,901
280,918
281,910
282,915
283,912
284,925
285,932
286,928
287,925
288,934
289,938
290,937
291,937
292,947
293,949
294,946
295,939
296,954
297,943
298,955
299,956
300,955
301,960
302,965
303,962
304,966
305,975
306,971
307,973
308,977
309,982
310,982
311,979
312,993
313,985
314,993
315,995
316,995
317,997
318,989
319,996
320,1004
321,1003
322,1007
323,1008
324,1016
325,1003
326,1016
327,1012
328,1025
329,1024
330,1029
331,1023
332,1028
333,1027
334,1033
335,1027
336,1029
337,1029
338,1046
339,1040
340,1040
341,1044
342,1042
343,1051
344,1049
345,1052
346,1061
347,1060
348,1056
349,1055
350,1069
351,1064
352,1066
353,1079
354,1071
355,1073
356,1071
357,1079
358,1079
359,1087
360,1078
361,1084
362,1078
363,1081
364,1088
365,1089
366,1099
367,1105
368,1094
369,1109
370,1116
371,1111
372,1111
373,1105
374,1104
375,1107
376,1115
377,1116
378,1119
379,1119
380,1114
381,1136
382,1125
383,1131
384,1132
385,1137
386,1128
387,1134
388,1133
389,1142
390,1142
391,1134
392,1133
393,1149
394,1142
395,1143
396,1151
397,1148
398,1166
399,1158
400,1149
401,1147
402,1175
403,1173
404,1166
405,1174
406,1168
407,1176
408,1174
409,1170
410,1169
411,1172
412,1180
413,1181
414,1185
415,1196
416,1173
417,1187
418,1185
419,1201
420,1203
421,1199
422,1201
423,1191
424,1213
425,1201
426,1204
427,1215
428,1205
429,1203
430,1216
431,1227
432,1218
433,1212
434,1212
435,1225
436,1221
437,1214
438,1228
439,1223
440,1228
441,1235
442,1237
443,1225
444,1226
445,1240
446,1241
447,1235
448,1241
449,1243
450,1244
451,1252
452,1253
453,1252
454,1256
455,1242
456,1257
457,1251
458,1262
459,1267
460,1257
461,1258
462,1262
463,1260
464,1277
465,1282
466,1265
467,1261
468,1282
469,1279
470,1289
471,1284
472,1282
473,1284
474,1288
475,1285
476,1281
477,1283
478,1304
479,1300
480,1303
481,1299
482,1300
483,1308
484,1293
485,1305
486,1303
487,1305
488,1310
489,1305
490,1312
491,1316
492,1314
493,1315
494,1307
495,1310
496,1320
497,1320
498,1317
499,1329
500,1331
501,1322
502,1332
503,1327
504,1322
505,1327
506,1330
507,1338
508,1333
509,1336
510,1338
511,1330
512,1341
513,1347
514,1347
515,1337
516,1358
517,1349
518,1348
519,1352
520,1353
