Index,ADC_raw
0,2
1,7
2,15
3,8
4,8
5,14
6,14
7,18
8,20
9,25
10,24
11,25
12,27
13,30
14,37
15,34
16,38
17,44
18,41
19,41
20,49
21,50
22,54
23,57
24,58
25,54
26,59
27,62
28,58
29,70
30,71
31,74
32,80
33,78
34,83
35,88
36,84
37,88
38,93
39,94
40,102
41,98
42,102
43,102
44,104
45,106
46,114
47,113
48,120
49,120
50,123
51,127
52,131
53,130
54,132
55,135
56,140
57,140
58,143
59,143
60,151
61,149
62,157
63,154
64,159
65,163
66,164
67,163
68,166
69,172
70,173
71,182
72,189
73,185
74,185
75,189
76,193
77,194
78,196
79,203
80,200
81,203
82,206
83,211
84,211
85,213
86,216
87,225
88,222
89,231
90,228
91,236
92,236
93,239
94,237
95,245
96,248
97,246
98,256
99,254
100,259
101,262
102,265
103,266
104,272
105,274
106,276
107,273
108,284
109,286
110,283
111,288
112,294
113,297
114,295
115,302
116,305
117,308
118,311
119,312
120,320
121,325
122,320
123,324
124,328
125,333
126,333
127,340
128,340
129,338
130,345
131,353
132,353
133,356
134,362
135,356
136,360
137,373
138,370
139,374
140,378
141,376
142,382
143,387
144,386
145,392
146,399
147,397
148,400
149,404
150,409
151,410
152,413
153,414
154,422
155,422
156,428
157,433
158,431
159,431
160,440
161,436
162,443
163,445
164,449
165,451
166,457
167,454
168,462
169,462
170,469
171,469
172,472
173,473
174,480
175,480
176,487
177,486
178,493
179,491
180,493
181,498
182,503
183,509
184,512
185,513
186,517
187,523
188,516
189,526
190,525
191,528
192,534
193,541
194,543
195,546
196,545
197,548
198,557
199,555
200,557
201,564
202,563
203,567
204,570
205,573
206,576
207,580
208,578
209,585
210,589
211,590
212,593
213,598
214,600
215,606
216,605
217,608
218,609
219,614
220,617
221,619
222,617
223,629
224,627
225,633
226,637
227,638
228,640
229,641
230,644
231,649
232,649
233,653
234,657
235,658
236,661
237,665
238,670
239,670
240,674
241,676
242,679
243,681
244,684
245,684
246,688
247,693
248,695
249,695
250,701
251,706
252,707
253,707
254,708
255,713
256,714
257,717
258,726
259,726
260,728
261,730
262,732
263,731
264,738
265,744
266,743
267,744
268,748
269,748
270,752
271,756
272,759
273,764
274,764
275,768
276,769
277,768
278,770
279,772
280,778
281,779
282,790
283,787
284,788
285,792
286,793
287,798
288,797
289,800
290,802
291,804
292,809
293,808
294,813
295,818
296,816
297,822
298,825
299,826
300,828
301,825
302,831
303,836
304,837
305,841
306,841
307,846
308,849
309,848
310,853
311,852
312,859
313,856
314,862
315,863
316,865
317,868
318,871
319,873
320,871
321,876
322,874
323,881
324,882
325,886
326,886
327,882
328,890
329,893
330,898
331,900
332,903
333,903
334,903
335,905
336,906
337,910
338,911
339,917
340,917
341,919
342,924
343,922
344,923
345,931
346,930
347,930
348,929
349,933
350,933
351,937
352,936
353,940
354,944
355,947
356,945
357,950
358,949
359,953
360,954
361,955
362,956
363,961
364,962
365,964
366,963
367,962
368,969
369,970
370,976
371,972
372,974
373,976
374,974
375,971
376,976
377,983
378,983
379,982
380,990
381,990
382,996
383,989
384,990
385,992
386,995
387,997
388,994
389,999
390,1005
391,1000
392,1009
393,1005
394,1006
395,1005
396,1007
397,1008
398,1013
399,1010
400,1010
401,1017
402,1014
403,1017
404,1016
405,1017
406,1019
407,1022
408,1018
409,1024
410,1025
411,1025
412,1022
413,1031
414,1027
415,1034
416,1035
417,1034
418,1035
419,1033
420,1037
421,1042
422,1044
423,1044
424,1037
425,1044
426,1040
427,1040
428,1044
429,1044
430,1045
431,1044
432,1050
433,1046
434,1050
435,1049
436,1051
437,1049
438,1053
439,1054
440,1055
441,1053
442,1049
443,1057
444,1057
445,1058
446,1054
447,1057
448,1058
449,1058
450,1059
451,1051
452,1058
453,1065
454,1060
455,1061
456,1060
457,1060
458,1064
459,1063
460,1063
461,1067
462,1066
463,1065
464,1066
465,1065
466,1065
467,1062
468,1064
469,1066
470,1066
471,1069
472,1066
473,1071
474,1066
475,1067
476,1064
477,1064
478,1072
479,1069
480,1068
481,1069
482,1065
483,1068
484,1069
485,1066
486,1068
487,1069
488,1069
489,1064
490,1067
491,1069
492,1069
493,1069
494,1070
495,1067
496,1068
497,1070
498,1075
499,1068
500,1068
501,1067
502,1066
503,1068
504,1067
505,1066
506,1069
507,1069
508,1069
509,1071
510,1061
511,1065
512,1065
513,1065
514,1068
515,1066
516,1053
517,1062
518,1064
519,1066
520,1065
521,1062
522,1062
523,1064
524,1065
525,1059
526,1060
527,1064
528,1063
529,1063
530,1060
531,1061
532,1063
533,1056
534,1056
535,1060
536,1054
537,1057
538,1056
539,1054
540,1053
541,1052
542,1051
543,1051
544,1050
545,1048
546,1050
547,1048
548,1043
549,1043
550,1046
551,1048
